cluster_id,category,complaints,start_date,end_date,active_months,trend_raw,severity_mean,lat,lon,wards,outgoing_relation_strength,incoming_relation_strength,out_degree,in_degree,frequency_score,persistence_score,trend_score,severity_score,density_score,network_score,priority_score_v4,priority_rank,frequency_component,persistence_component,trend_component,severity_component,density_component,network_component,connected_categories,priority_score_v7,priority_level,recommended_action,why_priority,priority_rank_v7,municipal_insight
76,Waterlogging,5,2025-06-18,2025-08-20,3,0.6000000000000002,3.6,23.210790480000004,79.90717472000001,72,0.608,1.389,1.0,2.0,6.835618952440489,3.7037037037037033,100.0,68.89952153110049,24.24242424242425,41.89217537235159,41.06,13,6.835618952440489,3.7037037037037033,100.0,68.89952153110049,24.242424242424246,41.89217537235158,Drainage,41.35,MEDIUM,"Inspect drainage network, blockage points and recurring water-accumulation locations.",increasing trend; high severity; strong connection to other urban problems,11,"MEDIUM priority Waterlogging hotspot in ward(s) 72: 5 complaints across 3 active months. Associated problems: Drainage. Why: increasing trend; high severity; strong connection to other urban problems. Action: Inspect drainage network, blockage points and recurring water-accumulation locations."
40,Illegal Dumping,21,2025-03-10,2026-08-23,13,0.0557275541795665,2.6666666666666665,23.161704004761905,79.93713370476192,33,1.642,1.467,2.0,2.0,55.54847302784368,40.74074074074074,9.28792569659442,39.87240829346093,22.377622377622377,65.21921543947975,41.33,12,55.548473027843684,40.74074074074074,9.287925696594414,39.87240829346093,22.377622377622377,65.21921543947975,Garbage Collection,41.13,MEDIUM,Inspect collection coverage and recurring dumping points; verify collection frequency.,strong connection to other urban problems; high complaint frequency; long persistence,12,MEDIUM priority Illegal Dumping hotspot in ward(s) 33: 21 complaints across 13 active months. Associated problems: Garbage Collection. Why: strong connection to other urban problems; high complaint frequency; long persistence. Action: Inspect collection coverage and recurring dumping points; verify collection frequency.
27,Garbage Collection,43,2024-11-05,2026-08-21,21,0.0257113967932977,3.0232558139534884,23.143888841860463,79.95256643720931,3,0.0,0.0,0.0,0.0,81.53601990701421,70.37037037037037,4.28523279888295,50.96250139089798,38.09523809523809,0.0,41.99,11,81.53601990701421,70.37037037037037,4.285232798882949,50.96250139089798,38.09523809523809,0.0,,40.95,MEDIUM,Inspect collection coverage and recurring dumping points; verify collection frequency.,long persistence; high complaint frequency; high severity,13,MEDIUM priority Garbage Collection hotspot in ward(s) 3: 43 complaints across 21 active months. Associated problems: none detected. Why: long persistence; high complaint frequency; high severity. Action: Inspect collection coverage and recurring dumping points; verify collection frequency.
18,Drainage,18,2024-04-15,2025-07-03,12,-0.0209150326797385,3.0,23.18960562777778,79.93737297222222,"38,40,59",1.781,1.431,2.0,2.0,50.052000178985054,37.03703703703704,0.0,50.23923444976077,18.181818181818183,67.37990350325154,40.34,14,50.052000178985054,37.03703703703704,0.0,50.23923444976077,18.181818181818183,67.37990350325151,Waterlogging,40.26,MEDIUM,"Inspect drainage network, blockage points and recurring water-accumulation locations.",strong connection to other urban problems; high severity; high complaint frequency,14,"MEDIUM priority Drainage hotspot in ward(s) 38,40,59: 18 complaints across 12 active months. Associated problems: Waterlogging. Why: strong connection to other urban problems; high severity; high complaint frequency. Action: Inspect drainage network, blockage points and recurring water-accumulation locations."
38,Illegal Dumping,9,2024-10-26,2026-03-05,9,-0.001031991744066,3.111111111111111,23.16862921111111,79.93512775555556,34,2.77,1.997,4.0,3.0,25.98754687917056,25.925925925925924,0.0,53.694843168527385,0.0,100.0,39.08,17,25.98754687917056,25.925925925925924,0.0,53.694843168527385,0.0,100.0,Drainage;Garbage Collection,39.82,LOW,Inspect collection coverage and recurring dumping points; verify collection frequency.,strong connection to other urban problems; high severity; long persistence,15,LOW priority Illegal Dumping hotspot in ward(s) 34: 9 complaints across 9 active months. Associated problems: Drainage;Garbage Collection. Why: strong connection to other urban problems; high severity; long persistence. Action: Inspect collection coverage and recurring dumping points; verify collection frequency.
36,Garbage Collection,17,2024-11-24,2025-12-04,11,0.0126696832579185,3.0588235294117645,23.238385017647055,79.98942029411765,76,1.481,1.656,2.0,2.0,48.02490624165891,33.33333333333333,2.1116138763197547,52.06867435969603,19.83471074380165,65.8065869519614,39.86,15,48.02490624165891,33.33333333333333,2.1116138763197494,52.06867435969603,19.83471074380165,65.80658695196139,Illegal Dumping,39.75,LOW,Inspect collection coverage and recurring dumping points; verify collection frequency.,strong connection to other urban problems; high severity; high complaint frequency,16,LOW priority Garbage Collection hotspot in ward(s) 76: 17 complaints across 11 active months. Associated problems: Illegal Dumping. Why: strong connection to other urban problems; high severity; high complaint frequency. Action: Inspect collection coverage and recurring dumping points; verify collection frequency.
2,Damaged Road,16,2024-08-11,2026-02-03,13,0.043859649122807,3.875,23.19523254375,79.933077475,39,0.707,0.82,1.0,1.0,45.88191698791236,40.74074074074074,7.309941520467832,77.45215311004786,8.391608391608395,32.032724984266835,39.1,16,45.881916987912355,40.74074074074074,7.309941520467832,77.45215311004786,8.391608391608395,32.03272498426683,Waterlogging,38.86,LOW,Inspect road condition and prioritize repair at the mapped cluster.,high severity; long persistence; high complaint frequency,17,LOW priority Damaged Road hotspot in ward(s) 39: 16 complaints across 13 active months. Associated problems: Waterlogging. Why: high severity; long persistence; high complaint frequency. Action: Inspect road condition and prioritize repair at the mapped cluster.
65,Water Leakage,14,2024-11-13,2025-11-27,9,2.236795186747787e-17,3.2142857142857144,23.18900995,79.95747777857142,"47,48",1.494,1.544,2.0,2.0,41.18928728921843,25.925925925925924,3.727991977912977e-15,56.90362269309639,20.2020202020202,63.729809104258464,37.59,19,41.18928728921843,25.925925925925924,3.727991977912977e-15,56.90362269309639,20.2020202020202,63.729809104258436,Water Supply,37.51,LOW,Inspect water-supply infrastructure and leakage/pressure issues.,strong connection to other urban problems; high severity; high complaint frequency,18,"LOW priority Water Leakage hotspot in ward(s) 47,48: 14 complaints across 9 active months. Associated problems: Water Supply. Why: strong connection to other urban problems; high severity; high complaint frequency. Action: Inspect water-supply infrastructure and leakage/pressure issues."
71,Water Supply,19,2025-10-07,2026-07-28,8,0.0797448165869218,2.8421052631578947,23.19354957368421,79.96757098947369,47,1.409,0.774,2.0,1.0,51.97509375834108,22.22222222222222,13.290802764486973,45.32863258625032,50.0,45.79400041955108,38.12,18,51.97509375834108,22.22222222222222,13.290802764486962,45.328632586250315,50.0,45.794000419551075,Water Leakage,37.46,LOW,Inspect water-supply infrastructure and leakage/pressure issues.,strong connection to other urban problems; high severity; high complaint frequency,19,LOW priority Water Supply hotspot in ward(s) 47: 19 complaints across 8 active months. Associated problems: Water Leakage. Why: strong connection to other urban problems; high severity; high complaint frequency. Action: Inspect water-supply infrastructure and leakage/pressure issues.
3,Damaged Sidewalk,14,2024-01-09,2025-03-08,9,-0.0714285714285713,3.0,23.20102978571429,79.93856935714287,57,1.489,1.539,2.0,2.0,41.18928728921843,25.925925925925924,0.0,50.23923444976077,20.2020202020202,63.52003356408643,36.22,20,41.18928728921843,25.925925925925924,0.0,50.23923444976077,20.2020202020202,63.52003356408642,Streetlight,36.14,LOW,Inspect pedestrian infrastructure and prioritize unsafe sections.,strong connection to other urban problems; high severity; high complaint frequency,20,LOW priority Damaged Sidewalk hotspot in ward(s) 57: 14 complaints across 9 active months. Associated problems: Streetlight. Why: strong connection to other urban problems; high severity; high complaint frequency. Action: Inspect pedestrian infrastructure and prioritize unsafe sections.
